year,track_name,track_popularity,album,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
2000,7 Days,73,Born to Do It,Craig David,['british soul'],62,0.659,0.812,4.0,87.0,0.0,0.0487,0.23,0.0,0.0951,0.888,83.014,235133.0
2000,Absolutely (Story of a Girl) - Radio Mix,69,The Madding Crowd,Nine Days,['pop rock'],49,0.481,0.94,7.0,71.0,1.0,0.066,0.000891,0.0,0.0939,0.66,96.493,189333.0
2000,Against All Odds (Take A Look at Me Now) - Mariah Only,61,Against All Odds (Take A Look at Me Now) EP,Mariah Carey,['dance pop'; 'pop'; 'urban contemporary'],76,0.542,0.498,1.0,80.0,1.0,0.0299,0.49,0.0,0.101,0.218,117.763,201933.0
2000,All The Small Things,84,Enema Of The State,blink-182,['alternative metal'; 'modern rock'; 'pop punk'; 'punk'; 'rock'; 'socal pop punk'],75,0.434,0.897,0.0,69.0,1.0,0.0488,0.0103,0.0,0.612,0.684,148.726,167067.0
2000,Amazed,72,Lonely Grill,Lonestar,['contemporary country'; 'country'; 'country road'],57,0.561,0.543,1.0,92.0,1.0,0.0324,0.26,0.0,0.124,0.243,139.803,240867.0
2000,Back Here,52,Sooner Or Later,BBMAK,['boy band'],35,0.624,0.945,7.0,49.0,1.0,0.0343,0.0698,4.57e-06,0.0867,0.914,104.77,218200.0
2000,Bag Lady,59,Mama's Gun,Erykah Badu,['afrofuturism'; 'alternative r&b'; 'neo soul'; 'r&b'],65,0.724,0.416,5.0,95.0,0.0,0.0841,0.365,0.0,0.0969,0.578,151.181,348893.0
2000,Be Like That,63,The Better Life,3 Doors Down,['alternative metal'; 'nu metal'; 'post-grunge'; 'rock'],69,0.487,0.702,7.0,78.0,1.0,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,265907.0
2000,Be With You,60,Enrique,Enrique Iglesias,['dance pop'; 'latin pop'; 'mexican pop'],75,0.683,0.866,1.0,73.0,0.0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,219360.0
2000,Beautiful Day,68,All That You Can't Leave Behind,U2,['irish rock'; 'permanent wave'; 'rock'],75,0.539,0.926,2.0,81.0,1.0,0.0499,0.014,0.00136,0.36,0.454,136.279,246400.0
2000,Bent,59,Mad Season,Matchbox Twenty,['neo mellow'; 'pop rock'; 'post-grunge'],67,0.518,0.83,6.0,83.0,0.0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,256133.0
2000,Better Off Alone,79,Who Needs Guitars Anyway?,Alice Deejay,['bouncy house'; 'eurodance'],58,0.671,0.882,8.0,78.0,0.0,0.0552,0.00181,0.667,0.285,0.787,136.955,214883.0
2000,Big Pimpin',74,"Vol, 3,,, Life And Times Of S, Carter",JAY-Z,['east coast hip hop'; 'gangster rap'; 'hip hop'; 'pop rap'; 'rap'],82,0.88,0.814,11.0,79.0,0.0,0.14,0.168,0.00672,0.0584,0.942,138.083,283067.0
2000,Born to Make You Happy,63,",,,Baby One More Time (Digital Deluxe Version)",Britney Spears,['dance pop'; 'pop'],78,0.633,0.922,11.0,68.0,0.0,0.0454,0.116,0.000465,0.071,0.686,84.11,243533.0
2000,Breathe,69,Breathe,Faith Hill,['contemporary country'; 'country'; 'country dawn'; 'country road'],61,0.529,0.496,7.0,95.0,1.0,0.029,0.173,0.0,0.251,0.278,136.859,250547.0
2000,Breathless,72,In Blue,The Corrs,['celtic rock'; 'europop'; 'pop rock'],59,0.607,0.82,11.0,88.0,1.0,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,207507.0
2000,Bye Bye Bye,74,No Strings Attached,*NSYNC,['boy band'; 'dance pop'; 'pop'],65,0.61,0.926,8.0,68.0,0.0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400.0
2000,Can't Fight The Moonlight,71,I Need You,LeAnn Rimes,['contemporary country'; 'country'; 'country dawn'; 'country road'],59,0.628,0.834,6.0,80.0,0.0,0.0497,0.403,0.0,0.051,0.626,97.865,215507.0
2000,Case Of The Ex (Whatcha Gonna Do),58,Fear Of Flying,MÃ½a,['contemporary r&b'; 'hip pop'; 'r&b'; 'urban contemporary'],60,0.774,0.684,1.0,67.0,0.0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,236827.0
2000,Cold as Ice,55,Warriorz,"M,O,P,",['east coast hip hop'; 'hardcore hip hop'],50,0.656,0.88,11.0,73.0,0.0,0.143,0.0421,0.0,0.294,0.758,85.565,244467.0
